trackId,obj_id,length,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,1.0,4.9,1.98,1.68,0,997,998,car,2,119.73660958362177,2.0139923197903054,15.805734649623032,11.826392879868024,0.0,0.0,0.0,1
2,354695.0,4.481452465057373,1.8325707912445068,1.4817302227020264,0,406,407,Car,1,51.61903198225602,26.57614125089036,29.86517095631158,28.28905569704699,25.72742410602029,0.8726473212120975,0.0,0
3,386711.0,4.43424654006958,1.8380491733551023,1.476117491722107,0,994,995,Car,2,114.05068291149054,7.05932705429435,30.72876973526531,23.30227204760471,7.576079830625028,0.25779631108700646,0.0,0
4,390316.0,4.497134685516357,1.840104818344116,1.559187650680542,0,823,824,Car,1,90.01908453263937,15.192351961075703,26.36851230547843,24.630415787299665,27.188183114657928,1.0310852125324188,0.0,0
5,395774.0,4.4295148849487305,1.8340532779693604,1.502162218093872,0,994,995,Car,2,95.40238940355248,9.203433357688434,28.624046784817544,21.342946459049415,0.0,0.0,0.0,1
6,396827.0,4.421786785125732,1.8248581886291504,1.4941798448562622,0,994,995,Car,2,95.06988535080245,9.732646050414749,26.7634252230274,21.4985646217161,0.0,0.0,0.0,0
7,398015.0,4.569621562957764,1.8083958625793457,1.5057477951049805,0,994,995,Car,2,123.89421040309057,13.99606001319298,29.10007410989764,24.598902792135345,17.791367020171975,0.653440486717918,1.3705382489554072,0
8,402579.0,8.453471183776855,2.606804609298706,2.973179340362549,0,994,995,Truck,2,24.081084275752005,1.015754145430608,17.45665602130809,11.79356965947645,0.0,0.0,0.0,0
9,403803.0,1.8809902667999268,0.7962646484375,1.1966304779052734,0,33,34,Bicycle,1,0.6461615876402824,15.417606614262544,15.805734649623032,15.580055543752183,0.0,0.0,0.0,0
10,403922.0,4.543546199798584,1.8607075214385984,1.5593174695968628,0,403,404,SUV,1,62.67728045082674,29.42631268219023,32.503668137724674,30.402897500094483,9.661450405328923,0.3279097922021523,1.998873575597344,0
11,404855.0,4.539403438568115,1.808465600013733,1.6021158695220947,14,123,110,Car,1,13.402539882075784,2.3014025617374223,3.3070387499135325,2.784399727882985,0.0,0.0,0.0,0
12,405143.0,4.561199188232422,1.82895028591156,1.5491029024124146,58,133,76,Car,1,10.961103819629109,-0.7266503351085198,4.369279560165008,2.6398758112680256,0.0,0.0,0.0,0
13,405226.0,4.552845001220703,1.812511920928955,1.5501294136047363,55,249,195,Car,1,29.04103914983899,-0.7240692027737357,1.4817821669243276,0.4123375677675934,0.0,0.0,0.0,0
14,405665.0,4.367475986480713,1.7975962162017822,1.6008448600769043,88,133,46,SUV,1,1.4180001280848666,15.936335879371367,16.831118316434562,16.32025709982236,24.724052676612793,1.550897833449838,0.0,0
15,405666.0,4.447399139404297,1.808441400527954,1.4901918172836304,85,994,910,Car,1,87.11924731189038,10.124976751363995,26.182298801172394,21.103361389117378,0.0,0.0,0.0,0
16,405913.0,4.668673992156982,1.819119215011597,1.4966700077056885,108,133,26,Car,1,3.2507210039324854,2.280573203460598,2.4512844426352824,2.3692572083412298,0.0,0.0,0.0,0
17,405914.0,4.460174560546875,1.815226912498474,1.621063470840454,108,386,279,SUV,2,39.71288550649801,28.14025583616289,29.34068042345853,28.651214658101598,13.871740129376768,0.4888910894102142,1.7451835810784273,0
18,405915.0,1.66705322265625,0.7236436009407043,1.2677202224731443,114,176,63,Bicycle,1,1.556943100696184,14.61176192782285,14.951033606623646,14.772237373758141,29.530937741345316,1.9772455498609292,0.0,0
19,406036.0,1.6198086738586426,0.6039125919342041,1.0965769290924072,124,149,26,Bicycle,1,0.42105378936217214,14.76422719432206,14.873222014679893,14.80774505763637,17.445690550771165,1.1744348246741554,0.0,0
20,406259.0,14.75814151763916,2.8356833457946777,4.172354698181152,154,307,154,Car,1,4.029149938202622,14.280417533381074,14.907136055656673,14.554846461394972,0.0,0.0,0.0,0
21,406634.0,6.6661248207092285,2.307541608810425,2.689239501953125,175,760,586,Truck,1,67.12573992294901,20.523679161313883,27.069091252266322,24.41616466507103,0.0,0.0,0.0,0
22,406997.0,4.656132221221924,1.8341248035430908,1.5022497177124023,188,220,33,Car,1,3.3632732922089135,4.321796370401422,5.001468312290564,4.481641040430165,12.54574398384962,2.645001691287853,2.9072022068731105,0
23,406998.0,4.589080333709717,1.8476289510726929,1.631864070892334,188,233,46,SUV,1,5.5172803769180865,0.1003778805223039,2.6400605423348154,1.7571279184787856,0.0,0.0,0.0,0
24,406999.0,4.767327308654785,1.9059971570968628,1.7663869857788086,188,294,107,SUV,1,11.282097577206056,1.191661742947609,3.3736387206716536,2.8010117141153668,0.0,0.0,0.0,0
25,407000.0,4.509012222290039,1.8431825637817385,1.6626946926116943,188,329,142,SUV,1,5.061032216838399,14.216755288298835,18.673969717769285,15.607967268935816,0.0,0.0,0.0,0
26,407239.0,1.6402788162231443,0.6921950578689575,1.4875576496124268,295,369,75,Motorbike_P,1,5.595318297091116,7.296488104428927,7.506854910391506,7.384380593882673,0.0,0.0,0.0,0
27,407446.0,4.523132801055908,1.7978155612945557,1.527489185333252,244,310,67,Car,1,9.077931643235765,0.6330801466130467,1.1358432985585427,0.7982952527132438,0.0,0.0,0.0,0
28,407549.0,1.645600199699402,0.6246668696403503,1.081182599067688,247,463,217,Bicycle,1,4.774527939918974,14.2188616545637,14.732528979415163,14.376847928100464,0.0,0.0,0.0,0
29,407980.0,0.2484489679336547,0.2484510093927383,0.2840037941932678,264,269,6,Special_Truck,2,0.1549208723856277,27.536936753386613,27.553288436040766,27.545693034506638,3.828318210115764,0.13894233419732854,0.0,0
30,408047.0,4.575105667114258,1.8753679990768437,1.6302748918533323,304,579,276,SUV,1,32.19718614587582,24.947402502686685,27.246444323620704,26.086329266822016,27.588904220880384,1.0282181515686588,12.703228639254066,0
31,408048.0,4.469435691833496,1.7791506052017212,1.4868276119232178,304,347,44,Car,2,5.615560368363623,27.555256534008514,27.97109482823652,27.714194225549463,20.033699387288788,0.7263783619973672,1.502432141238134,0
32,408236.0,4.500247478485107,1.7721580266952517,1.4740641117095947,345,380,36,Car,1,5.472527031942269,0.08308924560604858,0.5355673514534587,0.278993080520044,0.0,0.0,0.0,0
33,408337.0,4.602955341339111,1.8706231117248533,1.636317253112793,348,424,77,Car,1,10.315703682438645,-0.44299085244731984,1.2744235025007704,0.22503706528041867,0.0,0.0,0.0,0
34,408653.0,4.498157024383545,1.812627911567688,1.5309261083602903,435,994,560,Car,2,24.313060094991854,4.7090042915283785,20.90906932782675,14.133693708005605,7.927396563694683,0.40624089615782055,0.0,0
35,409175.0,2.680469036102295,1.107336163520813,1.6779272556304932,494,994,501,Tricycle,1,9.523539876262443,2.0988604115049614,13.214456635392933,8.193094317389402,0.0,0.0,0.0,0
36,410004.0,4.581067085266113,1.8356914520263672,1.623229742050171,497,523,27,Car,1,3.701609366507679,-0.6284134312398066,-0.5973810211842245,-0.6112447788810959,0.0,0.0,0.0,0
37,410142.0,2.1391797065734863,1.0021846294403076,1.5091111660003662,634,826,193,Bicycle_P,1,7.326810508906207,5.373000250102449,14.73519115894812,11.014934828231427,0.0,0.0,0.0,0
38,410216.0,0.5,0.5,0.3806618452072143,503,510,8,Pedestrian,1,0.13743963154610495,15.279013858728746,15.295066618405722,15.290448040812798,0.0,0.0,0.0,0
39,410390.0,1.6847045421600342,0.7830387353897095,1.4921188354492188,590,617,28,Motorbike_P,1,1.099712321297881,17.778445768716075,17.91837724569949,17.843575693312484,0.0,0.0,0.0,0
40,410441.0,4.618242740631104,1.8906534910202024,1.830449104309082,597,723,127,SUV,1,4.431716042111217,12.038433330127354,16.23607207964735,15.13147687546243,0.0,0.0,0.0,0
41,410488.0,1.7068111896514893,0.7875199317932129,1.4836585521697998,627,670,44,Motorbike_P,1,2.662405479268481,11.00485726172051,14.617244255518411,14.343701556389652,0.0,0.0,0.0,0
42,410574.0,4.434709548950195,1.7564430236816406,1.494741916656494,664,673,10,Car,1,0.16478525721034448,14.261371727249944,14.384514877523621,14.318762509665476,0.0,0.0,0.0,0
43,410778.0,4.396175384521484,1.8137673139572144,1.5772682428359983,664,697,34,Car,1,0.619011912584154,13.558673520711704,14.384756341878774,14.108445031008554,0.0,0.0,0.0,0
44,410832.0,1.6794885396957395,0.7739721536636353,1.4687994718551636,674,770,97,Motorbike_P,1,9.155425063959035,18.78495773615633,26.606599753706718,23.102314274920577,0.0,0.0,0.0,0
45,410833.0,4.530942916870117,1.8219094276428225,1.5827587842941284,674,990,317,Car,1,24.88117638697004,9.828758664970174,20.239600009843155,13.092793538832955,0.0,0.0,0.0,0
46,411018.0,4.574848175048828,1.968409776687622,1.482543706893921,845,994,150,Car,1,2.6043199278462965,2.0175740623911196,3.8517593843035995,2.487335356187183,0.0,0.0,0.0,0
47,411187.0,1.5500060319900513,0.701913595199585,1.4588019847869873,831,846,16,Motorbike_P,1,0.18107281075413617,3.762631285103313,4.574490324144333,4.189587403712116,0.0,0.0,0.0,0
48,411334.0,4.53477144241333,1.8479286432266235,1.61088764667511,794,839,46,SUV,1,4.671662603402293,-5.401646779916011,-3.0970367119110565,-4.66093291293917,0.0,0.0,0.0,0
49,411335.0,4.467233180999756,1.7720725536346436,1.5381383895874023,814,927,114,Car,1,7.799741710691929,8.859463769268093,11.33459135252701,9.663478991794594,9.06972677134344,0.8001811877691889,0.0,0
50,411632.0,4.463109493255615,1.8371444940567017,1.5213240385055542,875,941,67,Car,2,3.4346289337617217,6.827234641240434,7.158990192481122,6.906457139415314,0.0,0.0,0.0,0
51,411633.0,10.183802604675291,2.757931709289551,3.1698780059814453,872,920,49,Car,1,6.076425524772924,-11.720945928405223,-7.855605054319065,-9.7915715431748,0.0,-2.9172172565045873,0.0,0
52,411634.0,4.575385570526123,1.828948140144348,1.5894925594329834,872,933,62,SUV,1,6.9439667868551185,-9.166939179025615,-8.616286773745225,-8.90012185598022,0.0,-2.8251380435007643,0.0,0
53,411847.0,4.607889652252197,1.846064805984497,1.6045355796813965,948,994,47,Car,1,6.1072719326335125,-11.035756586173312,-9.903865183976523,-10.55179742722788,0.0,0.0,0.0,0
54,411848.0,4.459131717681885,1.913185954093933,1.4786168336868286,965,994,30,Car,1,0.23856944652275394,2.4244060963159813,3.051603699703617,2.759034095958875,0.0,0.0,0.0,0
